   k      z      dz     pres   presi   Tabs     tp     tpl      qt      Qc     Qi    REL
 512  4320.90  138.70  609.80  615.17  270.11  311.13  311.13  1.3422  0.0000  0.0000   26.74
 511  4182.20  132.70  620.57  625.55  270.95  310.54  310.54  1.4469  0.0000  0.0000   27.54
 510  4055.50  121.20  630.55  635.15  271.72  310.00  310.00  1.5425  0.0000  0.0000   28.18
 509  3939.80  110.70  639.77  644.02  272.41  309.51  309.51  1.6298  0.0000  0.0000   28.69
 508  3834.10  101.10  648.29  652.22  273.05  309.07  309.07  1.7095  0.0000  0.0000   29.11
 507  3737.60   92.30  656.16  659.77  273.63  308.66  308.66  1.7903  0.0000  0.0000   29.57
 506  3649.50   84.30  663.40  666.74  274.16  308.29  308.29  1.8683  0.0000  0.0000   30.02
 505  3569.00   77.00  670.08  673.15  274.65  307.95  307.95  1.9396  0.0000  0.0000   30.39
 504  3495.50   70.30  676.23  679.05  275.09  307.64  307.64  2.0047  0.0000  0.0000   30.71
 503  3428.40   64.20  681.88  684.47  275.49  307.36  307.36  2.0641  0.0000  0.0000   30.97
 502  3367.10   58.65  687.07  689.46  275.86  307.10  307.10  2.1183  0.0000  0.0000   31.20
 501  3311.10   53.55  691.85  694.04  276.19  306.86  306.86  2.1679  0.0000  0.0000   31.39
 500  3260.00   48.90  696.23  698.24  276.50  306.65  306.65  2.2132  0.0000  0.0000   31.55
 499  3213.30   44.70  700.25  702.10  276.78  306.45  306.45  2.2545  0.0000  0.0000   31.69
 498  3170.60   40.80  703.95  705.64  277.03  306.27  306.27  2.3443  0.0000  0.0000   32.54
 497  3131.70   37.25  707.33  708.88  277.26  306.11  306.11  2.4416  0.0000  0.0000   33.50
 496  3096.10   34.00  710.44  711.85  277.47  305.96  305.96  2.5305  0.0000  0.0000   34.36
 495  3063.70   31.05  713.27  714.57  277.66  305.82  305.82  2.6115  0.0000  0.0000   35.12
 494  3034.00   28.40  715.88  717.07  277.84  305.69  305.69  2.6857  0.0000  0.0000   35.81
 493  3006.90   25.90  718.27  719.36  278.00  305.58  305.58  2.7535  0.0000  0.0000   36.42
 492  2982.20   23.65  720.45  721.45  278.14  305.47  305.47  2.8152  0.0000  0.0000   36.97
 491  2959.60   21.60  722.45  723.36  278.27  305.38  305.38  2.8717  0.0000  0.0000   37.46
 490  2939.00   19.75  724.27  725.11  278.40  305.29  305.29  2.9232  0.0000  0.0000   37.91
 489  2920.10   18.05  725.95  726.72  278.51  305.21  305.21  2.9704  0.0000  0.0000   38.31
 488  2902.90   16.45  727.48  728.18  278.61  305.13  305.13  3.0134  0.0000  0.0000   38.67
 487  2887.20   15.00  728.88  729.52  278.70  305.07  305.07  3.0526  0.0000  0.0000   39.00
 486  2872.90   13.70  730.16  730.74  278.78  305.01  305.01  3.0884  0.0000  0.0000   39.29
 485  2859.80   12.55  731.33  731.87  278.86  304.95  304.95  3.1211  0.0000  0.0000   39.56
